snapshot_or_event_date,status,make,model_family,body,model_year,asking_price_usd,sold_price_usd,mileage_miles,location,listing_title,listing_url,source,vin_or_stock,notes
2026-09-05,last_ask,McLaren,600LT,coupe,2019,359900,,,"Fort Lauderdale, Florida, USA",2019 McLaren 600LT Coupe,https://www.classic.com/veh/2019-mclaren-600lt-coupe-sbm13raa9kw006992-pJqZXKW/,Classic.com,SBM13RAA9KW006992,6k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Lamborghini,Revuelto,coupe,2024,803097,,,"Marietta, Georgia, USA",2024 Lamborghini Revuelto,https://www.classic.com/veh/2024-lamborghini-revuelto-zhwuc1zm1rla00115-4V2xX24/,Classic.com,ZHWUC1ZM1RLA00115,Revuelto; 5k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Ferrari,SF90,spider,2025,614900,,,"Fort Lauderdale, Florida, USA",2025 Ferrari SF90 Spider,https://www.classic.com/veh/2025-ferrari-sf90-spider-zff96nma9s0317172-pzlBbPn/,Classic.com,ZFF96NMA9S0317172,SF90 Spider; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Ferrari,SF90,coupe,2022,425125,,,"Plano, Texas, USA",2022 Ferrari SF90 Stradale,https://www.classic.com/veh/2022-ferrari-sf90-stradale-zff95nla4n0271579-nBxoqKp/,Classic.com,ZFF95NLA4N0271579,SF90 Stradale; 6k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Ferrari,SF90,spider,2024,590463,,347,"Plano, Texas, USA",2024 Ferrari SF90 Spider,https://www.classic.com/veh/2024-ferrari-sf90-spider-zff96nma1r0303079-pJxlXOn/,Classic.com,ZFF96NMA1R0303079,SF90 Spider; exact miles displayed: 347 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Ferrari,SF90,coupe,2022,439995,,,"Las Vegas, Nevada, USA",2022 Ferrari SF90 Stradale,https://www.classic.com/veh/2022-ferrari-sf90-stradale-zff95nla5n0284809-4oXQZ1n/,Classic.com,ZFF95NLA5N0284809,SF90 Stradale; 8k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-04,last_ask,Ferrari,296,spider,2025,416589,,90,"West Palm Beach, Florida, USA",2025 Ferrari 296 GTS,https://www.classic.com/veh/2025-ferrari-296-gts-zff01sma8s0320277-n36lj64/,Classic.com,ZFF01SMA8S0320277,296 GTS; exact miles displayed: 90 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-04,last_ask,Ferrari,296,spider,2024,449950,,589,"Miami-Dade County, Florida, USA",2024 Ferrari 296 GTS Assetto Fiorano,https://www.classic.com/veh/2024-ferrari-296-gts-assetto-fiorano-zff01sma1r030-n20d6mp/,Classic.com,,296 GTS; exact miles displayed: 589 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-04,last_ask,Ferrari,296,coupe,2024,319000,,,"Mill Valley, California, USA",2024 Ferrari 296 GTB,https://www.classic.com/veh/2024-ferrari-296-gtb-zff99sla5r0310415-n3ar6Ap/,Classic.com,ZFF99SLA5R0310415,296 GTB; 9k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-04,last_ask,Ferrari,296,spider,2023,379882,,,"Las Vegas, Nevada, USA",2023 Ferrari 296 GTS,https://www.classic.com/veh/2023-ferrari-296-gts-zff01sma3p0290015-n2M7Ym4/,Classic.com,ZFF01SMA3P0290015,296 GTS; 2k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-04,last_ask,Ferrari,488,coupe,2016,209995,,,"Houston, Texas, USA",2016 Ferrari 488 GTB,https://www.classic.com/veh/2016-ferrari-488-gtb-zff79ala8g0217001-nOJAj24/,Classic.com,ZFF79ALA8G0217001,11k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-04,sold,Ferrari,488,spider,2019,,428000,667,"Boynton Beach, Florida, USA",2019 Ferrari 488 Spider,https://www.classic.com/veh/2019-ferrari-488-spider-zff80amaxk0241922-4ymrdg4/,Classic.com,ZFF80AMAXK0241922,exact miles displayed: 667 mi; auction sold
2026-09-04,sold,Ferrari,F8,spider,2022,,640000,342,"La Jolla, California, USA",2022 Ferrari F8 Spider,https://www.classic.com/veh/2022-ferrari-f8-spider-zff93lma7n0277210-WjKLAwp/,Classic.com,ZFF93LMA7N0277210,F8 Spider; exact miles displayed: 342 mi; auction sold
2026-09-04,last_ask,Ferrari,F8,coupe,2022,479900,,,"Norwood, Massachusetts, USA",2022 Ferrari F8 Tributo,https://www.classic.com/veh/2022-ferrari-f8-tributo-zff92lla9n0274488-Wxyb2ap/,Classic.com,ZFF92LLA9N0274488,F8 Tributo/coupe; 5k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-04,off_market,Ferrari,F8,spider,2022,,,,"City of Glen Cove, New York, USA",2022 Ferrari F8 Spider,https://www.classic.com/veh/2022-ferrari-f8-spider-zff93lma7n0270905-nOaoa2p/,Classic.com,ZFF93LMA7N0270905,F8 Spider; 3k mi displayed; mileage blank (rounded Nk mi); price undisclosed on Classic.com card; off_market/pending/undisclosed historical card; asking_price blank (not shown on card)
